                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91315,                 2.5793,                 1.2837,                0.02756,                0.95077,                0.32966,                0.20904,                 1.0958,                 3.5353,                 1.5207,             0.00041199,             0.00041199,             0.00041199
                      2,                 1.0229,                  1.903,                 1.3367,                0.78266,                0.29231,                0.28052,                0.17206,                 1.3164,                 2.5247,                 1.8298,             0.00078763,             0.00078763,             0.00078763
                      3,                 1.0602,                 1.7408,                 1.3474,                0.77122,                0.27692,                0.25476,                0.13901,                  1.508,                 2.4798,                 1.8428,               0.001122,               0.001122,               0.001122
                      4,                 1.0548,                 1.5669,                 1.3407,                0.76506,                0.35846,                0.30556,                0.18182,                 1.3159,                 2.1803,                 1.6809,              0.0010644,              0.0010644,              0.0010644
                      5,                 1.0506,                 1.4025,                 1.3216,                0.83468,                0.35193,                0.36106,                0.23631,                 1.1987,                 1.5314,                 1.6051,              0.0010025,              0.0010025,              0.0010025
                      6,                0.98186,                 1.3185,                 1.2881,                0.82486,                0.30247,                0.33118,                0.19938,                 1.2876,                 1.6967,                 1.7203,             0.00094062,             0.00094062,             0.00094062
                      7,                0.96703,                 1.2569,                 1.2721,                0.87343,                0.35385,                0.36794,                0.24438,                 1.2242,                 1.4009,                 1.6213,             0.00087875,             0.00087875,             0.00087875
                      8,                0.95061,                  1.186,                 1.2593,                0.87387,                0.36484,                0.37173,                0.24308,                 1.1957,                 1.3694,                  1.554,             0.00081688,             0.00081688,             0.00081688
                      9,                0.92612,                 1.1348,                 1.2534,                0.88293,                0.38748,                0.39475,                0.27195,                 1.1268,                   1.18,                 1.5121,               0.000755,               0.000755,               0.000755
                     10,                0.88482,                 1.0571,                 1.2231,                0.88077,                 0.3685,                0.39488,                0.25364,                 1.0947,                 1.3557,                 1.4612,             0.00069313,             0.00069313,             0.00069313
                     11,                0.85858,                 1.0461,                 1.2856,                0.87586,                0.35869,                0.39334,                0.25597,                 1.0719,                 1.2593,                 1.4436,             0.00063125,             0.00063125,             0.00063125
                     12,                0.83012,                0.89589,                 1.2394,                0.88836,                0.39605,                0.41443,                0.28931,                 1.0471,                 1.0096,                 1.4178,             0.00056938,             0.00056938,             0.00056938
                     13,                0.79597,                0.86521,                  1.223,                0.92741,                 0.3895,                0.42622,                0.29378,                 1.0026,                 0.9674,                 1.3684,              0.0005075,              0.0005075,              0.0005075
                     14,                0.76075,                0.77493,                 1.1917,                0.42565,                0.40154,                0.42012,                0.30226,                 1.0254,                0.91784,                 1.3853,             0.00044563,             0.00044563,             0.00044563
                     15,                0.75106,                0.73899,                 1.1726,                0.41306,                0.38769,                0.40593,                0.27816,                 1.0396,                 1.0178,                 1.4226,             0.00038375,             0.00038375,             0.00038375
                     16,                0.71537,                0.71603,                 1.1567,                0.43405,                0.41517,                0.43319,                0.30802,                0.99848,                0.85424,                  1.362,             0.00032188,             0.00032188,             0.00032188
                     17,                0.70094,                0.66634,                 1.1418,                0.43603,                0.40462,                0.43015,                0.30844,                0.97161,                0.84236,                 1.3593,                0.00026,                0.00026,                0.00026
                     18,                0.67122,                0.63944,                 1.1192,                0.43631,                0.42159,                0.44199,                0.32019,                0.94456,                0.79442,                 1.3248,             0.00019813,             0.00019813,             0.00019813
                     19,                0.64918,                0.59942,                 1.1031,                0.41863,                0.43231,                0.43586,                0.31926,                0.93785,                0.81646,                  1.309,             0.00013625,             0.00013625,             0.00013625
                     20,                0.63375,                0.57529,                 1.1138,                0.45675,                0.42308,                0.44479,                 0.3265,                0.91348,                0.74978,                 1.2921,             7.4375e-05,             7.4375e-05,             7.4375e-05
